2023-12-06 17:35:12,108	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.0989261	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,758	 []	 INFO 	 TEST_APP_2010	17:35:12.7585728	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 131: 29.0542
2023-12-06 17:35:12,758	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.7585728	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,808	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.8084972	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.45672e-02

2023-12-06 17:35:12,808	 []	 INFO 	 TEST_APP_2010	17:35:12.8084972	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 132: 34.5672
2023-12-06 17:35:12,808	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.8084972	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,868	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.8685130	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.53325e-02

2023-12-06 17:35:12,868	 []	 INFO 	 TEST_APP_2010	17:35:12.8685130	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 133: 35.3325
2023-12-06 17:35:12,868	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.8685130	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,918	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.9182353	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.90098e-02

2023-12-06 17:35:12,918	 []	 INFO 	 TEST_APP_2010	17:35:12.9182353	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 134: 29.0098
2023-12-06 17:35:12,918	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.9182353	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,968	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.9682352	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.89130e-02

2023-12-06 17:35:12,968	 []	 INFO 	 TEST_APP_2010	17:35:12.9682352	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 135: 28.913
2023-12-06 17:35:12,968	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.9682352	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,008	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.0084386	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.98176e-02

2023-12-06 17:35:13,008	 []	 INFO 	 TEST_APP_2010	17:35:13.0084386	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 136: 29.8176
2023-12-06 17:35:13,008	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.0084386	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,068	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.0684042	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.04768e-01

2023-12-06 17:35:13,068	 []	 INFO 	 TEST_APP_2010	17:35:13.0684042	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 137: 104.768
2023-12-06 17:35:13,068	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.0684042	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,108	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.1083869	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	6.81828e-02

2023-12-06 17:35:13,108	 []	 INFO 	 TEST_APP_2010	17:35:13.1083869	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 138: 68.1828
2023-12-06 17:35:13,108	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.1083869	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,168	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.1680746	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.27952e-02

2023-12-06 17:35:13,168	 []	 INFO 	 TEST_APP_2010	17:35:13.1680746	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 139: 32.7952
2023-12-06 17:35:13,168	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.1680746	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,208	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.2083226	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.09053e-02

2023-12-06 17:35:13,208	 []	 INFO 	 TEST_APP_2010	17:35:13.2083226	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 140: 20.9053
2023-12-06 17:35:13,208	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.2083226	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,258	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.2582231	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.13235e-02

2023-12-06 17:35:13,258	 []	 INFO 	 TEST_APP_2010	17:35:13.2582231	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 141: 11.3235
2023-12-06 17:35:13,258	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.2582231	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,308	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.3081965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.13821e-02

2023-12-06 17:35:13,308	 []	 INFO 	 TEST_APP_2010	17:35:13.3081965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 142: 11.3821
2023-12-06 17:35:13,308	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.3081965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,368	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.3681644	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.13866e-02

2023-12-06 17:35:13,368	 []	 INFO 	 TEST_APP_2010	17:35:13.3681644	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 143: 11.3866
2023-12-06 17:35:13,368	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.3681644	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,408	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.4082247	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.12969e-02

2023-12-06 17:35:13,408	 []	 INFO 	 TEST_APP_2010	17:35:13.4082247	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 144: 11.2969
2023-12-06 17:35:13,408	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.4082247	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,458	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.4581965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.13111e-02

2023-12-06 17:35:13,458	 []	 INFO 	 TEST_APP_2010	17:35:13.4581965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 145: 11.3111
2023-12-06 17:35:13,458	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.4581965	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,508	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.5081715	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.13111e-02

2023-12-06 17:35:13,508	 []	 INFO 	 TEST_APP_2010	17:35:13.5081715	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 146: 11.3111
2023-12-06 17:35:13,508	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.5081715	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,568	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.5681392	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.12543e-02

2023-12-06 17:35:13,568	 []	 INFO 	 TEST_APP_2010	17:35:13.5681392	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 147: 11.2543
2023-12-06 17:35:13,568	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.5681392	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,608	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.6081206	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.12925e-02

2023-12-06 17:35:13,608	 []	 INFO 	 TEST_APP_2010	17:35:13.6081206	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 148: 11.2925
2023-12-06 17:35:13,608	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.6081206	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,658	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.6580967	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.11824e-02

2023-12-06 17:35:13,658	 []	 INFO 	 TEST_APP_2010	17:35:13.6580967	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 149: 11.1824
2023-12-06 17:35:13,658	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.6580967	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,708	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.7080692	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.16682e-03

2023-12-06 17:35:13,708	 []	 INFO 	 TEST_APP_2010	17:35:13.7080692	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 150: 1.16682
2023-12-06 17:35:13,708	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.7080692	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,768	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.7680211	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	6.17107e-03

2023-12-06 17:35:13,768	 []	 INFO 	 TEST_APP_2010	17:35:13.7680211	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 151: 6.17107
2023-12-06 17:35:13,768	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.7680211	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,808	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.8080111	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.09349e-02

2023-12-06 17:35:13,808	 []	 INFO 	 TEST_APP_2010	17:35:13.8080111	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 152: 10.9349
2023-12-06 17:35:13,808	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.8080111	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,857	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.8579863	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.41630e-02

2023-12-06 17:35:13,857	 []	 INFO 	 TEST_APP_2010	17:35:13.8579863	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 153: 14.163
2023-12-06 17:35:13,857	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.8579863	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,907	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.9079592	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.56485e-02

2023-12-06 17:35:13,907	 []	 INFO 	 TEST_APP_2010	17:35:13.9079592	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 154: 15.6485
2023-12-06 17:35:13,907	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.9079592	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:13,967	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.9678131	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.51018e-02

2023-12-06 17:35:13,967	 []	 INFO 	 TEST_APP_2010	17:35:13.9678131	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 155: 15.1018
2023-12-06 17:35:13,967	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:13.9678131	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,007	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.0078447	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.43909e-02

2023-12-06 17:35:14,007	 []	 INFO 	 TEST_APP_2010	17:35:14.0078447	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 156: 14.3909
2023-12-06 17:35:14,007	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.0078447	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,057	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.0578749	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.32133e-02

2023-12-06 17:35:14,057	 []	 INFO 	 TEST_APP_2010	17:35:14.0578749	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 157: 13.2133
2023-12-06 17:35:14,057	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.0578749	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,107	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1078508	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.21481e-02

2023-12-06 17:35:14,107	 []	 INFO 	 TEST_APP_2010	17:35:14.1078508	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 158: 12.1481
2023-12-06 17:35:14,107	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1078508	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,157	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1575487	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	1.12765e-02

2023-12-06 17:35:14,157	 []	 INFO 	 TEST_APP_2010	17:35:14.1575487	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 159: 11.2765
2023-12-06 17:35:14,157	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1575487	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,197	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1977922	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	9.78644e-03

2023-12-06 17:35:14,197	 []	 INFO 	 TEST_APP_2010	17:35:14.1977922	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 160: 9.78644
2023-12-06 17:35:14,197	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.1977922	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,257	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.2577605	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	4.25441e-03

2023-12-06 17:35:14,257	 []	 INFO 	 TEST_APP_2010	17:35:14.2577605	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 161: 4.25441
2023-12-06 17:35:14,257	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.2577605	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,307	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.3077372	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	9.84110e-04

2023-12-06 17:35:14,307	 []	 INFO 	 TEST_APP_2010	17:35:14.3077372	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 162: 0.98411
2023-12-06 17:35:14,307	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.3077372	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,437	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.4376760	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	9.84110e-04

2023-12-06 17:35:14,437	 []	 INFO 	 TEST_APP_2010	17:35:14.4376760	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 163: 0.98411
2023-12-06 17:35:14,437	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.4376760	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:14,577	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.5776096	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	9.84110e-04

2023-12-06 17:35:14,577	 []	 INFO 	 TEST_APP_2010	17:35:14.5776096	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 164: 0.98411
2023-12-06 17:35:14,577	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:14.5776096	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
